[2026-05-18T12:41:29.058Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T12:41:44.591Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T12:47:23.286Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T12:47:36.675Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T12:55:52.728Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T12:56:07.546Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T12:57:12.386Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T12:57:27.726Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T13:07:59.809Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T13:08:16.451Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T13:12:25.743Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T13:12:47.121Z] _updateActiveFile called. currentFile: /home/denis/.config/Code/User/settings.json, state.currentFile: null, attachments: []
[2026-05-18T13:13:14.849Z] _updateActiveFile called. currentFile: undefined, state.currentFile: /home/denis/.config/Code/User/settings.json, attachments: []
[2026-05-18T13:13:22.173Z] _updateActiveFile called. currentFile: /home/denis/Programming/VS Code Programs/C++/5th_sem_progs/.vscode/settings.json, state.currentFile: null, attachments: []
[2026-05-18T13:13:36.033Z] _updateActiveFile called. currentFile: undefined, state.currentFile: /home/denis/Programming/VS Code Programs/C++/5th_sem_progs/.vscode/settings.json, attachments: []
[2026-05-18T13:13:53.061Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T13:19:28.057Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
[2026-05-18T13:19:43.790Z] _updateActiveFile called. currentFile: undefined, state.currentFile: null, attachments: []
